Year,Country,Traffic Index Rank,Traffic Index,Time Index (in minutes),Time Exp. Index,Inefficiency Index,CO2 Emission Index
2012.01,Iran,1,328.17,73.5,38296.18,351.27,9714
2012.01,Singapore,2,274.66,66.25,24679.99,247.61,7592.5
2012.01,Bangladesh,3,269.79,61.67,17931.92,480.76,16403.33
2012.01,Egypt,4,242.4,59,14613.3,269.9,12742
2012.01,Hong Kong,5,241,62,18377.31,200.59,5143.33
2012.01,Philippines,6,208.9,54.89,10307.9,290.4,7538
2012.01,Turkey,7,188.72,54.22,9697.43,192.45,2944.44
2012.01,India,8,174.35,48.33,5274.72,300.92,7796.86
2012.01,Russia,9,163.1,47.83,4979.28,173.16,5970.67
2012.01,Israel,10,162.28,46.6,4287.14,206.25,7709
2012.01,Argentina,11,153,45.4,3675.71,183.98,6696
2012.01,United Kingdom,12,146.29,44.17,3108.41,374.57,4379.44
2012.01,Colombia,13,137.83,44,3036.35,276.03,2934
2012.01,Japan,14,133.75,46.5,4233.89,140.39,640
2012.01,Canada,15,126.19,40.44,1741.67,211.62,5210.46
2012.01,Thailand,16,125.15,38.75,1281.05,142.22,8977.5
2012.01,Chile,17,122.58,41.62,2123.11,136.88,3222.75
2012.01,Indonesia,18,117.26,36.67,831.47,233.86,7980
2012.01,Ecuador,19,117.23,43,2626.36,78.14,1200
2012.01,Greece,20,110.19,38.22,1155.14,149.25,3981.41
2012.01,South Africa,21,108.92,34.5,489.2,174.01,9177
2012.01,United States,22,108.87,36.36,775.44,163.46,6098.77
2012.01,Australia,23,107.15,37.09,911.91,159.08,4455.94
2012.01,Italy,24,106.94,37.81,1062.49,124.58,3863.43
2012.01,Croatia,25,102.96,37,895.06,163.65,3244.5
2012.01,Poland,26,97.19,36.27,760.23,86.45,3469.09
2012.01,Lithuania,27,91.8,35.5,632.37,114.24,2512.5
2012.01,Malaysia,28,89.39,32.4,262.98,130.97,5162
2012.01,Mexico,29,87.81,31.33,182.36,118.55,6177.78
2012.01,Denmark,30,81.9,31,161.39,92.44,4900
2012.01,Germany,31,80.77,33.12,330.4,103.18,2238.12
2012.01,Romania,32,76.89,32.47,269.08,92.66,2029.41
2012.01,Ukraine,33,76.79,33,318.01,56.89,2035.5
2012.01,Brazil,34,75.96,30,109.43,85.88,4127.25
2012.01,Switzerland,35,68.55,30.88,154.01,81.87,1577.5
2012.01,China,36,66.92,29.67,95.52,65.61,2253.33
2012.01,Spain,37,66.87,26.45,29.22,66.38,4330
2012.01,Belgium,38,63.99,21.5,21.5,95.98,4721.5
2012.01,Portugal,39,63.31,28,47.81,58.27,2585.43
2012.01,Czech Republic,40,62.61,28.67,62.85,47.53,2193.5
2012.01,Serbia,41,62.37,25.65,25.95,120.19,2562.12
2012.01,New Zealand,42,62.25,25.25,25.27,67.28,3391.5
2012.01,Austria,43,60.44,23,23,91,3203.33
2012.01,United Arab Emirates,44,57.64,17,17,92.4,4344.67
2012.01,Netherlands,45,57.06,26.83,32.03,63.77,1650
