Country,Year,Raw Event,Desc
Iraq,1990,Invasion,"Iraq's military invaded Kuwait in August, leading to international condemnation and the subsequent Gulf War, fundamentally altering the political landscape of the Middle East."
Iraq,1990,International Sanctions,"Following the invasion of Kuwait, the United Nations imposed severe economic sanctions on Iraq, significantly affecting its economy and the well-being of its population."
Iraq,1990,Diplomatic Isolation,"The invasion of Kuwait resulted in Iraq facing diplomatic isolation from much of the international community, straining its foreign relations."
Iraq,1990,Oil Export Blockade,"International sanctions led to a blockade on Iraqi oil exports, severely impacting the nation's primary revenue source and causing economic distress."
Iraq,1990,Refugee Crisis,"The Gulf War and subsequent conflicts led to a significant refugee crisis, with thousands of Iraqis and Kuwaitis displaced by the conflict."
Iraq,1991,Gulf War,"A coalition led by the United States launched a military campaign against Iraq in response to its invasion of Kuwait, resulting in significant destruction across Iraq and the eventual retreat of Iraqi forces from Kuwait."
Iraq,1991,Uprising in the South,"Following the Gulf War, Shiite populations in southern Iraq rose up against Saddam Hussein's regime, facing brutal suppression."
Iraq,1991,Uprising in the North,"Similarly, Kurdish populations in northern Iraq initiated an uprising against the regime, leading to severe military responses and a humanitarian crisis."
Iraq,1991,No-Fly Zones Established,"The United States, United Kingdom, and France established no-fly zones over northern and southern Iraq to protect Kurdish and Shiite populations, limiting Iraqi government control over these regions."
Iraq,1991,Marshlands Draining,"The Iraqi government began draining the marshlands in southern Iraq, an act seen as punishment for the Shiite populations there and leading to ecological and economic damage."
Iraq,1992,Currency Devaluation,"Amid ongoing sanctions and economic isolation, the Iraqi dinar significantly devalued, leading to inflation and further economic hardship for the population."
Iraq,1992,Internal Repression,"The regime intensified its repression of political dissent and ethnic minorities, employing severe measures to maintain control."
Iraq,1992,Humanitarian Crisis,"The combination of sanctions, military actions, and government policies led to a worsening humanitarian crisis, with widespread shortages of food and medicine."
Iraq,1992,Agricultural Decline,"Sanctions and government neglect led to a decline in agricultural productivity, exacerbating food shortages and economic challenges."
Iraq,1992,Information Suppression,"The government enforced strict control over information and media, restricting access to external news sources and punishing expressions of dissent."
Iraq,1993,Failed Assassination Attempt,"An attempted assassination of former U.S. President George H.W. Bush during his visit to Kuwait was attributed to Iraqi agents, leading to missile strikes by the U.S. against Iraq."
Iraq,1993,Continued UN Sanctions,"The United Nations continued to enforce strict sanctions against Iraq due to its non-compliance with disarmament conditions, affecting all sectors of Iraqi society."
Iraq,1993,Infrastructure Deterioration,"Ongoing conflicts and sanctions led to further deterioration of Iraq's infrastructure, including water supply, electricity, and public health facilities."
Iraq,1993,Military Restructuring,The government restructured its military forces to adapt to ongoing no-fly zones and internal security challenges.
Iraq,1993,Smuggling Increase,"With official economic channels crippled, smuggling of goods, including oil and basic necessities, became rampant as a means of circumventing sanctions."
Iraq,1994,Rationing System Intensified,"In response to continuing food shortages, Iraq intensified its food rationing system to manage the limited supplies available under sanctions."
Iraq,1994,Diplomatic Efforts,"Iraq engaged in various diplomatic efforts to mitigate the impact of international sanctions and seek ways to lift them, though with limited success."
Iraq,1994,UN Inspections,"Iraq faced ongoing challenges with UN weapons inspections, leading to periodic crises and military standoffs with the international community."
Iraq,1994,Public Health Crisis,"The combination of sanctions, war, and government policies led to a severe public health crisis, with increases in malnutrition and preventable diseases."
Iraq,1994,Educational Decline,"The education system in Iraq continued to decline due to lack of funding, infrastructure damage, and the broader impacts of war and sanctions."
Iraq,1995,Oil-for-Food Program,"The United Nations initiated the Oil-for-Food Program, allowing Iraq to sell oil in exchange for food, medicine, and other humanitarian goods to alleviate the effects of sanctions."
Iraq,1995,Espionage Accusations,"Iraq accused UN weapons inspectors of spying for foreign governments, leading to increased tensions and complicating the inspections process."
Iraq,1995,Increased Political Isolation,"Despite some diplomatic efforts, Iraq remained politically isolated on the international stage, with few allies and ongoing conflicts."
Iraq,1995,Military Parades,"In a show of defiance, Iraq held large military parades to demonstrate its resilience and sovereignty despite international pressure and sanctions."
Iraq,1995,Art and Culture Suppression,"The regime increased its suppression of art and culture that was deemed non-conformist or critical of the government, limiting freedom of expression and cultural development."
Iraq,1996,Economic Sanctions,"Continuing U.N. economic sanctions severely impacted Iraq's economy and public health infrastructure, causing widespread shortages and suffering among the civilian population."
Iraq,1996,Political Repression,"The government carried out extensive political repression, including arrests and executions, to maintain control over the population and suppress opposition."
Iraq,1996,Oil-for-Food Program,"The Oil-for-Food Program was established by the United Nations, allowing Iraq to sell oil on the world market in exchange for food, medicine, and other humanitarian needs, under strict UN control."
Iraq,1996,Military Operations,Military operations by Iraqi forces in the northern no-fly zone led to confrontations with U.S. and allied aircraft enforcing the zone established after the Gulf War.
Iraq,1996,Infrastructure Decline,"Ongoing conflicts and international sanctions led to significant decline in national infrastructure, including healthcare, water supply, and electricity, worsening the humanitarian crisis."
Iraq,1997,Political Assassination,A significant political assassination occurred when the Iraqi authorities executed over 100 army officers for alleged insubordination and plotting against the government.
Iraq,1997,Agricultural Crisis,"A severe drought coupled with government mismanagement and sanctions led to a major agricultural crisis, exacerbating food shortages and economic instability."
Iraq,1997,UN Inspections Conflict,Conflicts intensified between Iraq and United Nations weapons inspectors tasked with ensuring the dismantlement of weapons of mass destruction.
Iraq,1997,Economic Sanctions,"The impact of ongoing economic sanctions continued to affect the civilian population, with rising poverty rates and worsening public health conditions."
