Country,Year,Raw Event,Desc
China,1990,Economic Reforms,"Expansion of market reforms introduced more private sector participation in the economy, significantly impacting economic growth and development across various regions."
China,1990,International Sporting Event,"Hosting a major international sports event in Beijing, showcasing China's growing ability to stage large-scale international events and its aspirations on the world stage."
China,1990,Diplomatic Relations,"Restoration and establishment of diplomatic relations with several countries, marking a strategic shift towards global integration and enhancing international trade and cooperation."
China,1990,Student Protests,"Pro-democracy student protests occurred in various Chinese cities, demanding political reforms and greater freedoms."
China,1990,Economic Reform,"China announced plans for further economic reform, including opening up to foreign investment and market-oriented policies."
China,1990,Floods,"Severe flooding affected parts of southern China, causing widespread damage to crops, infrastructure, and homes."
China,1990,Trade Agreement,"China and the Soviet Union signed a landmark trade agreement, marking improved relations between the two countries."
China,1990,Political Scandal,"A high-ranking Chinese official was implicated in a corruption scandal, leading to public outrage and calls for government accountability."
China,1991,Gulf War,"China expressed opposition to the United States-led military intervention in the Gulf War, advocating for a diplomatic solution."
China,1991,Space Program,"China successfully launched its first manned space mission, becoming the third country to achieve this feat after the United States and the Soviet Union."
China,1991,Ethnic Unrest,"Ethnic tensions flared in certain regions of China, leading to clashes between different ethnic groups and government authorities."
China,1991,Economic Zones Expansion,"The creation and expansion of Special Economic Zones (SEZs) to attract foreign investment, driving economic growth and technological advancement in designated areas."
China,1991,Population Policy,"Implementation of measures to control population growth, impacting societal structure, family life, and demographic trends over the following decades."
China,1991,Environmental Policies,Introduction of significant environmental policies aimed at addressing pollution and promoting sustainable development amid rapid industrialization.
China,1992,Southern Tour,"A significant political tour advocating for further economic liberalization, which played a crucial role in deepening and expanding market reforms across the country."
China,1992,Foreign Investment,"Significant increase in foreign direct investment (FDI) following policy changes, marking a pivotal moment in China's economic opening and integration with the global economy."
China,1992,Diplomatic Relations,"Establishment of diplomatic relations with South Korea, reflecting a strategic shift in regional politics and economic relations in East Asia."
China,1993,Constitutional Amendments,"Adoption of constitutional amendments to endorse the market economy, underscoring the official acceptance of market mechanisms within the socialist framework."
China,1993,Territorial Agreement,"Signing of a landmark agreement with a neighboring country to settle border disputes, enhancing regional stability and bilateral relations."
China,1993,Economic Policy,"Launch of the Shanghai Stock Exchange, marking a significant step in developing China's financial markets and attracting domestic and international investments."
China,1992,Rioting,"Social unrest erupted in certain Chinese cities, with protests and rioting sparked by economic hardships and dissatisfaction with government policies."
China,1992,Natural Disaster,"A powerful earthquake struck northern China, causing extensive damage to infrastructure and claiming many lives."
China,1992,Economic Reforms,China introduced further economic reforms aimed at liberalizing markets and attracting foreign investment.
China,1992,Technological Advancement,"China made significant strides in technological development, particularly in the fields of telecommunications and information technology."
China,1993,Political Reform,"Calls for political reform grew louder in China, with intellectuals and activists advocating for greater political participation and transparency."
China,1993,Infrastructure Development,"China embarked on ambitious infrastructure projects, including the construction of highways, railways, and telecommunications networks."
China,1993,Human Rights,"China faced international criticism for its human rights record, particularly regarding issues such as freedom of speech and political dissent."
China,1993,Trade Agreement,"China signed trade agreements with several neighboring countries, further integrating its economy into the global market."
China,1993,Health Crisis,"China grappled with a public health crisis, as outbreaks of infectious diseases spread rapidly across certain regions."
