Country,Year,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Africa Eastern and Southern,2022,
Africa Eastern and Southern,2021,96.1814423061056
Africa Eastern and Southern,2020,97.4135847695511
Africa Eastern and Southern,2019,99.0855722587841
Africa Eastern and Southern,2018,99.4917026482317
Africa Eastern and Southern,2017,100.96352629023
Africa Eastern and Southern,2016,103.222825498629
Africa Eastern and Southern,2015,105.50183295561
Africa Eastern and Southern,2014,107.697714993556
Africa Eastern and Southern,2013,108.092795855758
Africa Eastern and Southern,2012,109.532169608089
Africa Eastern and Southern,2011,111.558594569882
Africa Eastern and Southern,2010,111.758713212606
Africa Eastern and Southern,2009,112.602370949035
Africa Eastern and Southern,2008,114.933408732692
Africa Eastern and Southern,2007,115.060877421007
Africa Eastern and Southern,2006,116.401306961845
Africa Eastern and Southern,2005,117.584240435768
Africa Eastern and Southern,2004,118.823211926383
Africa Eastern and Southern,2003,119.557516351678
Africa Eastern and Southern,2002,121.936911479602
Africa Eastern and Southern,2001,123.629170417788
Africa Eastern and Southern,2000,123.134769131908
Africa Eastern and Southern,1999,124.958023564541
Africa Eastern and Southern,1998,123.860302659944
Africa Eastern and Southern,1997,125.26199777544
Africa Eastern and Southern,1996,128.239448076508
Africa Eastern and Southern,1995,127.306550787239
Africa Eastern and Southern,1994,128.792351238038
Africa Eastern and Southern,1993,129.800646275656
Africa Eastern and Southern,1992,128.650226745135
Africa Eastern and Southern,1991,131.922595134796
Africa Eastern and Southern,1990,132.845311378448
Africa Eastern and Southern,1989,132.422604235282
Africa Eastern and Southern,1988,133.911118066723
Africa Eastern and Southern,1987,135.346146015478
Africa Eastern and Southern,1986,136.12847932477
Africa Eastern and Southern,1985,137.953223122652
Africa Eastern and Southern,1984,138.785843258905
Africa Eastern and Southern,1983,139.763806631955
Africa Eastern and Southern,1982,141.191950820555
Africa Eastern and Southern,1981,142.558131825617
Africa Eastern and Southern,1980,143.75343754838
Africa Eastern and Southern,1979,145.484720348173
Africa Eastern and Southern,1978,146.644103471495
Africa Eastern and Southern,1977,148.93109556429
Africa Eastern and Southern,1976,150.533608687468
Africa Eastern and Southern,1975,151.86791415169
Africa Eastern and Southern,1974,152.504672544408
Africa Eastern and Southern,1973,152.57050224758
Africa Eastern and Southern,1972,153.951116872101
Africa Eastern and Southern,1971,152.846769500502
Africa Eastern and Southern,1970,149.579704242624
Africa Eastern and Southern,1969,148.012004326763
Africa Eastern and Southern,1968,145.748064357066
Africa Eastern and Southern,1967,145.871492556418
Africa Eastern and Southern,1966,145.295946187855
Africa Eastern and Southern,1965,144.331149937632
Africa Eastern and Southern,1964,143.456932955638
Africa Eastern and Southern,1963,142.324951230209
Africa Eastern and Southern,1962,141.664168114272
Africa Eastern and Southern,1961,140.810248007317
Africa Eastern and Southern,1960,140.180525679236
Africa Western and Central,2022,
Africa Western and Central,2021,106.548067770779
Africa Western and Central,2020,107.580168950022
Africa Western and Central,2019,108.778535718496
Africa Western and Central,2018,109.93097096682
Africa Western and Central,2017,110.863328021623
Africa Western and Central,2016,113.411757914631
Africa Western and Central,2015,117.728385276798
Africa Western and Central,2014,122.3955317032
Africa Western and Central,2013,125.084478041749
Africa Western and Central,2012,125.610390043981
Africa Western and Central,2011,125.871042160189
Africa Western and Central,2010,125.474447733057
Africa Western and Central,2009,125.302300735509
Africa Western and Central,2008,126.319087981045
Africa Western and Central,2007,127.078895344995
Africa Western and Central,2006,128.995522423457
Africa Western and Central,2005,131.726192700917
Africa Western and Central,2004,132.177337859479
Africa Western and Central,2003,134.548367507029
Africa Western and Central,2002,134.27354474907
Africa Western and Central,2001,134.413435662421
Africa Western and Central,2000,135.384757850323
Africa Western and Central,1999,135.73247552119
Africa Western and Central,1998,134.426076709336
Africa Western and Central,1997,134.97458100575
Africa Western and Central,1996,137.083896801873
Africa Western and Central,1995,139.826030396151
Africa Western and Central,1994,142.232091507243
Africa Western and Central,1993,143.783504087771
Africa Western and Central,1992,144.105700206041
Africa Western and Central,1991,145.050231333324
Africa Western and Central,1990,146.75571439033
Africa Western and Central,1989,149.417591265788
Africa Western and Central,1988,150.166381347297
Africa Western and Central,1987,153.71516457766
Africa Western and Central,1986,154.470039845673
Africa Western and Central,1985,158.435761685581
Africa Western and Central,1984,159.833590222724
Africa Western and Central,1983,161.969359441635
Africa Western and Central,1982,161.568765704501
Africa Western and Central,1981,164.702607192096
Africa Western and Central,1980,167.955921725829
Africa Western and Central,1979,169.306595407579
Africa Western and Central,1978,169.941595705103
Africa Western and Central,1977,172.724789568032
Africa Western and Central,1976,175.071567433855
Africa Western and Central,1975,177.153968873094
Africa Western and Central,1974,177.789674202149
Africa Western and Central,1973,174.768965123408
Africa Western and Central,1972,172.985251908937
Africa Western and Central,1971,171.826658111119
Africa Western and Central,1970,171.387190203411
Africa Western and Central,1969,170.327071863033
Africa Western and Central,1968,168.651906976592
Africa Western and Central,1967,170.984633208514
Africa Western and Central,1966,173.176493213223
Africa Western and Central,1965,175.46702133702
Africa Western and Central,1964,175.847602445638
Africa Western and Central,1963,175.665650169403
Africa Western and Central,1962,174.212286374905
Africa Western and Central,1961,170.748419054554
Africa Western and Central,1960,167.054249967384
Arab World,2022,
Arab World,2021,45.6949406320179
Arab World,2020,46.5675612532463
Arab World,2019,47.4953387335782
Arab World,2018,48.5961123792521
Arab World,2017,49.6785339731071
Arab World,2016,50.8694279249528
Arab World,2015,52.7961381463415
Arab World,2014,53.7609885656028
Arab World,2013,54.3350269455225
Arab World,2012,54.122750355469
Arab World,2011,54.1270374191582
Arab World,2010,53.8772643935001
Arab World,2009,53.3020432375812
Arab World,2008,53.2220677773584
Arab World,2007,53.7213855780654
Arab World,2006,53.7095457771486
Arab World,2005,52.5754605537891
Arab World,2004,52.8077139804479
Arab World,2003,53.189494380783
Arab World,2002,53.0254804268924
Arab World,2001,53.8404108616301
Arab World,2000,55.2016046528094
Arab World,1999,56.060535696553
Arab World,1998,56.5473082296505
Arab World,1997,58.7694357409751
Arab World,1996,60.2077944587601
Arab World,1995,62.727383860558
Arab World,1994,65.0538336086471
Arab World,1993,67.0873497723814
Arab World,1992,68.7743429499279
Arab World,1991,69.6304630329854
Arab World,1990,70.2305890306381
Arab World,1989,72.9819198616891
Arab World,1988,75.5477852278782
Arab World,1987,77.4048071816192
Arab World,1986,81.4064415717553
Arab World,1985,85.9329912262357
Arab World,1984,89.7484015645677
Arab World,1983,94.328970920105
Arab World,1982,96.1786453760508
Arab World,1981,98.0584532128838
Arab World,1980,99.77429044181
Arab World,1979,99.9260809726077
Arab World,1978,103.637197460621
Arab World,1977,105.974636746928
Arab World,1976,109.338549141679
Arab World,1975,113.070884545238
Arab World,1974,114.550188172238
Arab World,1973,116.85475231217
Arab World,1972,120.462623393386
Arab World,1971,121.849994377863
Arab World,1970,121.935711446068
Arab World,1969,126.042752075817
Arab World,1968,129.651696123639
Arab World,1967,135.420873064514
Arab World,1966,138.810773129536
Arab World,1965,138.34800667398
Arab World,1964,140.424308947757
Arab World,1963,142.065828641268
Arab World,1962,142.692531289407
Arab World,1961,140.951129647797
Arab World,1960,141.235554750684
Caribbean small states,2022,
Caribbean small states,2021,41.8889321916382
Caribbean small states,2020,42.3638379645277
Caribbean small states,2019,43.5031785796566
Caribbean small states,2018,44.6077828862105
Caribbean small states,2017,46.0461776541366
Caribbean small states,2016,47.8023341537311
Caribbean small states,2015,49.663418503213
Caribbean small states,2014,50.2516354533906
Caribbean small states,2013,52.1193543513569
Caribbean small states,2012,53.460222967241
Caribbean small states,2011,53.9938304852236
Caribbean small states,2010,54.6668029266457
Caribbean small states,2009,57.0351092378716
Caribbean small states,2008,58.0961872378232
Caribbean small states,2007,58.8763358321894
Caribbean small states,2006,61.4890024981829
Caribbean small states,2005,62.0616290396207
Caribbean small states,2004,63.7962462834977
Caribbean small states,2003,64.2636871771375
Caribbean small states,2002,65.5968521426663
Caribbean small states,2001,67.4686207603682
Caribbean small states,2000,68.4867296108193
Caribbean small states,1999,72.6284810177112
Caribbean small states,1998,75.7982178895323
Caribbean small states,1997,78.2828528337844
Caribbean small states,1996,80.2374563442161
Caribbean small states,1995,84.2429322737947
Caribbean small states,1994,86.822331625324
Caribbean small states,1993,89.697564755575
Caribbean small states,1992,91.3644838248342
Caribbean small states,1991,92.1351382081784
Caribbean small states,1990,94.7885951482478
Caribbean small states,1989,97.9099486391609
Caribbean small states,1988,99.9575568595959
Caribbean small states,1987,101.523198234197
Caribbean small states,1986,103.252193909538
Caribbean small states,1985,105.925064690111
Caribbean small states,1984,107.709056702587
Caribbean small states,1983,109.797104533311
Caribbean small states,1982,110.122321606789
Caribbean small states,1981,109.986601525349
Caribbean small states,1980,108.476484102461
Caribbean small states,1979,109.278046125564
Caribbean small states,1978,108.970130961764
Caribbean small states,1977,109.401768822921
Caribbean small states,1976,110.74723833841
Caribbean small states,1975,113.302827732739
Caribbean small states,1974,116.915720661489
Caribbean small states,1973,119.546343102789
Caribbean small states,1972,120.164849766537
Caribbean small states,1971,120.362242071093
Caribbean small states,1970,121.575491696147
Caribbean small states,1969,121.69998941275
Caribbean small states,1968,124.040490895411
Caribbean small states,1967,126.068665014925
Caribbean small states,1966,128.347439187874
Caribbean small states,1965,129.305566570197
Caribbean small states,1964,128.806556273642
Caribbean small states,1963,132.244659049552
Caribbean small states,1962,135.04944146623
Caribbean small states,1961,139.376785861444
Caribbean small states,1960,141.111101418196
Central Europe and the Baltics,2022,
Central Europe and the Baltics,2021,19.0624901257258
Central Europe and the Baltics,2020,19.2361308667097
Central Europe and the Baltics,2019,19.3897226670954
Central Europe and the Baltics,2018,19.9886927674708
Central Europe and the Baltics,2017,20.6184144822643
Central Europe and the Baltics,2016,20.9291438965654
Central Europe and the Baltics,2015,20.769862189405
Central Europe and the Baltics,2014,21.1305554406725
Central Europe and the Baltics,2013,20.8305206442642
Central Europe and the Baltics,2012,21.3885390861445
Central Europe and the Baltics,2011,21.1804686439451
Central Europe and the Baltics,2010,22.4671576671445
Central Europe and the Baltics,2009,24.6136618007793
Central Europe and the Baltics,2008,24.6724300130411
Central Europe and the Baltics,2007,23.0851107532264
Central Europe and the Baltics,2006,22.4555403534506
Central Europe and the Baltics,2005,21.9301566202296
Central Europe and the Baltics,2004,21.6556999217389
Central Europe and the Baltics,2003,21.6381588330826
Central Europe and the Baltics,2002,21.666364941547
Central Europe and the Baltics,2001,22.4959266832235
Central Europe and the Baltics,2000,24.153369192017
Central Europe and the Baltics,1999,25.0820480642326
Central Europe and the Baltics,1998,26.2216436214574
Central Europe and the Baltics,1997,27.501139601409
Central Europe and the Baltics,1996,29.1059486864356
Central Europe and the Baltics,1995,31.2805957042976
Central Europe and the Baltics,1994,34.9405134678088
Central Europe and the Baltics,1993,37.6891408492543
Central Europe and the Baltics,1992,39.4046067007826
Central Europe and the Baltics,1991,40.9289401165388
Central Europe and the Baltics,1990,41.3402872385074
Central Europe and the Baltics,1989,42.4706536566457
Central Europe and the Baltics,1988,46.2339189046386
Central Europe and the Baltics,1987,48.4913810127651
Central Europe and the Baltics,1986,48.0677189968286
Central Europe and the Baltics,1985,46.7207275392363
Central Europe and the Baltics,1984,46.9606905891704
Central Europe and the Baltics,1983,47.6141620013864
Central Europe and the Baltics,1982,49.2960533830028
Central Europe and the Baltics,1981,49.4467690515749
Central Europe and the Baltics,1980,50.6086364234551
Central Europe and the Baltics,1979,50.501752833162
Central Europe and the Baltics,1978,52.0460207670711
Central Europe and the Baltics,1977,52.6255953897865
Central Europe and the Baltics,1976,52.6880595611591
Central Europe and the Baltics,1975,51.6859479372554
Central Europe and the Baltics,1974,48.9084107601397
Central Europe and the Baltics,1973,44.606722020282
Central Europe and the Baltics,1972,42.9213049989755
Central Europe and the Baltics,1971,42.9417432733214
Central Europe and the Baltics,1970,42.5111856239913
Central Europe and the Baltics,1969,44.7846571179047
Central Europe and the Baltics,1968,45.3433304202033
Central Europe and the Baltics,1967,44.0964750944717
Central Europe and the Baltics,1966,38.8914221389679
Central Europe and the Baltics,1965,37.3692909649601
Central Europe and the Baltics,1964,36.280105636626
Central Europe and the Baltics,1963,39.917712722836
Central Europe and the Baltics,1962,42.1427382496234
Central Europe and the Baltics,1961,46.6834340869237
Central Europe and the Baltics,1960,48.1611358985493
Early-demographic dividend,2022,
Early-demographic dividend,2021,35.8588092661183
Early-demographic dividend,2020,36.4187679587667
Early-demographic dividend,2019,37.1825240291407
Early-demographic dividend,2018,38.3775906008901
Early-demographic dividend,2017,39.4870145432422
Early-demographic dividend,2016,40.3051154579932
Early-demographic dividend,2015,42.3982842150054
Early-demographic dividend,2014,48.676553398902
Early-demographic dividend,2013,49.5936104905894
Early-demographic dividend,2012,50.3832782084552
Early-demographic dividend,2011,51.7770637494371
Early-demographic dividend,2010,53.517826201564
Early-demographic dividend,2009,54.5334670464292
Early-demographic dividend,2008,57.9457940682332
Early-demographic dividend,2007,57.1730383623202
Early-demographic dividend,2006,58.3225799816647
Early-demographic dividend,2005,62.0354135416162
Early-demographic dividend,2004,70.1733803283001
Early-demographic dividend,2003,76.3462933846393
Early-demographic dividend,2002,79.9093493835022
Early-demographic dividend,2001,83.6465154829529
Early-demographic dividend,2000,84.8802487636995
Early-demographic dividend,1999,87.1946462617793
Early-demographic dividend,1998,90.2658519746779
Early-demographic dividend,1997,91.8487925895968
Early-demographic dividend,1996,94.3199418496918
Early-demographic dividend,1995,98.8784966624824
Early-demographic dividend,1994,101.230351411138
Early-demographic dividend,1993,102.131635023205
Early-demographic dividend,1992,105.067692220982
Early-demographic dividend,1991,106.221646260011
Early-demographic dividend,1990,105.008496318119
Early-demographic dividend,1989,109.271791257166
Early-demographic dividend,1988,110.463038637128
Early-demographic dividend,1987,109.883615296396
Early-demographic dividend,1986,117.473483537827
Early-demographic dividend,1985,119.575694181719
Early-demographic dividend,1984,122.330539984995
Early-demographic dividend,1983,124.205882783495
Early-demographic dividend,1982,126.906885464108
Early-demographic dividend,1981,128.365399456992
Early-demographic dividend,1980,127.599547181934
Early-demographic dividend,1979,128.090448731655
Early-demographic dividend,1978,125.298071957342
Early-demographic dividend,1977,126.165688048086
Early-demographic dividend,1976,131.780352069582
