Year,Country,Quality of Life Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
2012.01,Argentina,36,32.58,40.48,51.62,76.74,68.05,11.83,45.4,90,
2012.01,Australia,9,162.03,108.67,59.38,79.11,130.28,6.94,37.09,37.25,
2012.01,Austria,10,159.89,98.78,55.92,83.18,98.44,6.69,23,42.84,
2014.06,Argentina,46,74.39,55.28,40.21,75.33,64.87,10.05,44,58.62,
2012.01,Belgium,21,100.68,84.58,59.38,82.22,114.29,6.3,21.5,88.33,
2015.06,Argentina,44,92.79,83.59,36.46,74.75,68.17,12.87,43.1,59.6,
2012.01,Bosnia And Herzegovina,38,28.04,42.86,59.69,57.41,53.37,10.85,17,112.42,
2016.06,Argentina,39,137.33,61.29,36.9,74.1,55.31,13.11,39.09,56.11,91.7
2012.01,Brazil,44,10.81,31.73,40.74,59.09,87.64,15.28,30,82.92,
2017.06,Argentina,39,119.71,50.83,36.55,72.23,56.8,11.79,38.89,55.1,94.61
2012.01,Bulgaria,37,30.77,34.73,58.63,60.3,53.69,10.35,26.33,98.48,
2018.06,Argentina,43,130.41,61.48,38.07,70.53,36.41,13.11,42.15,54.5,98.21
2012.01,Canada,7,164.99,110.72,60.18,71.99,101.7,4.85,40.44,41.59,
2019.06,Argentina,50,121.02,52.01,37.04,69.81,38.72,19.48,42.09,51.89,98.28
2012.01,Chile,43,21.04,51.02,43.65,59.26,70.2,9.37,41.62,103.75,
2020.06,Argentina,55,114.21,43.38,37.74,69.16,31.18,24.09,42.99,50.61,98.28
2012.01,China,51,-49.55,33.5,55.53,36.15,51.63,29.9,29.67,122.8,
2021.06,Argentina,63,104.31,27.68,36.18,68.99,35.33,26.37,42.6,51.01,98.28
2012.01,Colombia,41,23.38,28.95,52.79,88.89,61.7,14.41,44,91.46,
2022.06,Argentina,61,110.14,33.64,35.91,69,32.13,22.81,43.39,50.86,98.28
2012.01,Croatia,22,93.06,50.65,67.58,65,70.77,11.59,37,49.94,
2012.01,Czech Republic,23,88.14,58.43,63.41,65,65.19,10.99,28.67,65.99,
2012.01,Denmark,8,163.12,99.26,54.69,89.81,125.72,6.13,31,34.17,
2012.01,Egypt,49,-22.17,27.17,55.69,65.74,50.77,11.81,59,125.71,
2014.06,Australia,7,166.68,100.49,58.35,71.9,114.59,7.43,37.02,22.24,
2012.01,France,16,119.51,90.9,55.24,80.74,103.9,10.54,29,61.82,
2015.06,Australia,7,227.19,157.97,56.64,72.72,89.5,7.92,35.56,23.09,
2012.01,Germany,2,184.42,114.22,78.8,71.96,92.83,4.8,33.12,45.14,
2016.06,Australia,3,196.4,137.26,58,74.14,79.73,7.54,35.82,24.09,80.58
2012.01,Greece,42,23.28,44.99,47.97,51.76,97.85,11.05,38.22,87.77,
2017.06,Australia,8,172.4,107.84,57.98,75.42,85.96,7.57,35.71,24.87,87.92
2012.01,Hungary,32,48.74,38.08,69.53,59.95,63.4,10.6,24.67,90.25,
2018.06,Australia,4,192.41,128.6,57.81,75.78,73.87,7.25,36.54,24.32,92.6
2012.01,India,33,44.01,62.05,54.36,59.42,34.28,9.8,48.33,102.91,
2019.06,Australia,4,189.73,118.09,57.3,76.82,73.39,7.68,35.66,23.15,94.2
2012.01,Indonesia,34,37.22,20.09,76.13,94.12,51.49,39.78,36.67,43.84,
2020.06,Australia,4,185.03,103.38,58.33,77.81,75.89,7.44,35,23.22,94.2
2012.01,Iran,50,-35.23,46.38,48.14,43.4,54.32,12.48,73.5,131.85,
2021.06,Australia,5,178.41,91.07,56.97,77.86,80.75,7.27,34.81,23.69,92.7
2012.01,Ireland,14,125.14,84.79,53.93,41.06,114.29,5.89,11.67,45.17,
2022.06,Australia,4,190.72,117.56,55.17,77.76,72.27,5.6,34.68,24.19,93.9
2012.01,Israel,17,118.25,73.81,59.22,91.67,98.66,9.51,46.6,48.75,
2012.01,Italy,31,49.65,67.73,43.33,67.77,99.07,12.63,37.81,85.48,
2012.01,Japan,13,130.52,83.62,94.25,96.11,136.69,16.88,46.5,52.5,
2014.06,Austria,11,160.72,89.05,71.81,77.77,87.66,10.19,24.77,35.77,
2012.01,Malaysia,28,65.31,72.13,29.12,69.06,56,4.77,32.4,91.25,
2015.06,Austria,11,214.62,135.34,73.72,76.49,68.14,9.36,28.9,32.45,
2012.01,Mexico,30,60.31,59.33,37.46,80.06,56.41,5.84,31.33,93.5,
2016.06,Austria,6,187,103.54,78.33,78.8,71.79,10.37,28.98,25.43,62.13
2012.01,Netherlands,11,158.07,93.65,71.6,70.37,108.48,6.34,26.83,41.67,
2017.06,Austria,4,178.53,87.11,80.87,79.47,78.98,9.45,27.1,23.46,77.7
2012.01,New Zealand,5,174.28,88.59,53.19,86.81,107.37,5.71,25.25,17.08,
2018.06,Austria,5,191.99,103.83,78.5,79.2,72.31,9.75,27.53,23.06,76.95
2012.01,Norway,3,183.43,94.21,80.93,79.04,166.65,7.1,18.5,19.22,
2019.06,Austria,6,187.82,89.88,76.77,79.46,72.15,10.64,25.41,21.78,80.36
2012.01,Pakistan,45,-3.05,26.24,41.29,60.42,36.45,20.18,13,101.33,
2020.06,Austria,6,181.68,79.38,75.57,78.56,71.78,10.85,25.79,21.65,78.22
2012.01,Philippines,46,-3.77,28.37,46.91,76.11,44.85,8.66,54.89,116.65,
2021.06,Austria,7,176.36,68.69,74.46,76.98,74.87,10.91,25.67,20.42,77.15
2012.01,Poland,29,60.63,58.88,61.3,55.79,52.96,12.32,36.27,83.75,
2022.06,Austria,9,178.06,75.09,73.18,76.19,64.11,10.88,25.38,22.16,77.15
2020.06,Azerbaijan,66,102.69,27.19,67.88,44.59,31.14,16.45,39.99,76.3,91.4
2012.01,Portugal,19,105.1,56.85,59.36,69.96,73.97,7.77,28,51.91,
2021.06,Azerbaijan,68,101.41,23.1,67.98,44.56,30.04,17.57,40.01,74.3,91.4
