country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,country_a_id_fk
79,2012,2012,12,3,0.9319066666666668,1,2.6591440000000004,"['Finance Economy Sector', 'Social Sector', 'Sovereignty']",209
61,2012,2012,12,2,0.9707049999999999,1,2.382423,"['Social Sector', 'Sovereignty']",209
61,2012,2011,12,2,0.969935,1,2.3819610000000004,"['Social Sector', 'Sovereignty']",209
114,2012,2012,12,2,0.9687399999999999,1,2.381244,"['Social Sector', 'Sovereignty']",209
129,2012,2010,12,2,0.96484,1,2.3789040000000004,"['Social Sector', 'Sovereignty']",209
109,2012,2012,12,2,0.9641249999999999,1,2.3784750000000003,"['Social Sector', 'Sovereignty']",209
56,2012,2009,12,2,0.96404,1,2.3784240000000003,"['Finance Economy Sector', 'Social Sector']",209
54,2012,2008,12,2,0.9637,1,2.3782200000000002,"['Social Sector', 'Sovereignty']",209
234,2012,2008,12,2,0.96231,1,2.3773860000000004,"['Social Sector', 'Sovereignty']",209
123,2012,2012,12,2,0.960705,1,2.3764230000000004,"['Social Sector', 'Sovereignty']",209
92,2012,2011,12,2,0.9597,1,2.37582,"['Social Sector', 'Sovereignty']",209
129,2012,2009,12,2,0.9594050000000001,1,2.375643,"['Social Sector', 'Sovereignty']",209
92,2012,2012,12,2,0.95591,1,2.373546,"['Social Sector', 'Sovereignty']",209
110,2012,2012,12,2,0.955735,1,2.373441,"['Social Sector', 'Sovereignty']",209
108,2012,2011,12,2,0.9545250000000001,1,2.3727150000000004,"['Social Sector', 'Sovereignty']",209
229,2012,2012,12,2,0.954455,1,2.3726730000000003,"['Social Sector', 'Sovereignty']",209
23,2012,2011,12,2,0.954285,1,2.372571,"['Social Sector', 'Sovereignty']",209
108,2012,2012,12,2,0.954005,1,2.3724030000000003,"['Social Sector', 'Sovereignty']",209
234,2012,2009,12,2,0.9522299999999999,1,2.371338,"['Social Sector', 'Sovereignty']",209
239,2012,2011,12,2,0.9521,1,2.3712600000000004,"['Social Sector', 'Sovereignty']",209
227,2012,2010,12,2,0.951385,1,2.3708310000000004,"['Finance Economy Sector', 'Human Rights Development']",209
109,2012,2011,12,2,0.950295,1,2.370177,"['Social Sector', 'Sovereignty']",209
239,2012,2012,12,2,0.9502250000000001,1,2.3701350000000003,"['Social Sector', 'Sovereignty']",209
54,2012,2007,12,2,0.94993,1,2.3699580000000005,"['Social Sector', 'Sovereignty']",209
68,2012,2012,12,2,0.947935,1,2.368761,"['Finance Economy Sector', 'Social Sector']",209
26,2012,2008,12,2,0.94641,1,2.367846,"['Social Sector', 'Sovereignty']",209
229,2012,2011,12,2,0.945705,1,2.3674230000000005,"['Social Sector', 'Sovereignty']",209
14,2012,2011,12,2,0.944395,1,2.3666370000000003,"['Human Rights Development', 'Sovereignty']",209
