country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,country_a_id_fk
104,1995,1995,28,2,0.97965,1,3.9877900000000004,['Trade Sector'],56
104,1995,1993,28,2,0.977595,1,3.9865570000000004,['Trade Sector'],56
104,1995,1994,28,2,0.9747600000000001,1,3.9848560000000006,['Trade Sector'],56
104,1995,1992,28,2,0.970025,1,3.9820150000000005,['Trade Sector'],56
176,1995,1995,28,2,0.94874,1,3.969244,['Trade Sector'],56
126,1995,1995,28,2,0.948415,1,3.9690490000000005,['Trade Sector'],56
181,1995,1995,28,2,0.94493,1,3.9669580000000004,['Trade Sector'],56
104,1995,1991,28,2,0.94478,1,3.9668680000000003,['Trade Sector'],56
176,1995,1994,28,2,0.93842,1,3.9630520000000002,['Trade Sector'],56
52,1995,1991,28,2,0.9332199999999999,1,3.9599320000000002,['Trade Sector'],56
52,1995,1992,28,2,0.931685,1,3.9590110000000003,['Trade Sector'],56
176,1995,1992,28,2,0.93081,1,3.9584860000000006,['Trade Sector'],56
104,1995,1990,28,2,0.929475,1,3.9576850000000006,['Trade Sector'],56
176,1995,1991,28,2,0.927285,1,3.9563710000000003,['Trade Sector'],56
176,1995,1993,28,2,0.924525,1,3.954715,['Trade Sector'],56
203,1995,1995,28,2,0.924515,1,3.9547090000000003,['Trade Sector'],56
53,1995,1995,28,2,0.9236800000000001,1,3.9542080000000004,['Trade Sector'],56
177,1995,1995,28,2,0.92038,1,3.9522280000000003,['Trade Sector'],56
176,1995,1990,28,2,0.9171,1,3.95026,['Trade Sector'],56
140,1995,1991,28,2,0.915065,1,3.9490390000000004,['Trade Sector'],56
21,1995,1995,28,2,0.912825,1,3.9476950000000004,['Trade Sector'],56
140,1995,1992,28,2,0.9117850000000001,1,3.947071,['Trade Sector'],56
153,1995,1992,28,2,0.907365,1,3.9444190000000003,['Trade Sector'],56
153,1995,1995,28,2,0.906825,1,3.9440950000000004,['Trade Sector'],56
57,1995,1991,28,2,0.905885,1,3.943531,['Trade Sector'],56
200,1995,1991,28,2,0.905085,1,3.9430510000000005,['Trade Sector'],56
208,1995,1990,28,2,0.90492,1,3.9429520000000005,['Trade Sector'],56
202,1995,1992,28,2,0.90447,1,3.9426820000000005,['Trade Sector'],56
120,1995,1995,28,2,0.903185,1,3.941911,['Trade Sector'],56
104,1995,1994,27,2,0.98248,1,3.889488,['Trade Sector'],56
104,1995,1995,27,2,0.98159,1,3.888954,['Trade Sector'],56
104,1995,1996,27,2,0.97501,1,3.885006,['Trade Sector'],56
104,1995,1993,27,2,0.974725,1,3.8848350000000003,['Trade Sector'],56
104,1995,1992,27,2,0.959935,1,3.875961,['Trade Sector'],56
239,2006,2008,15,6,0.9547633333333333,1,3.872858,"['Political State Sector', 'Social Sector', 'Human Rights Development', 'Finance Economy Sector']",56
176,1995,1995,27,2,0.9545300000000001,1,3.8727180000000003,['Trade Sector'],56
