country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk
48,1990,1990,31,3,0.9878342857142857,1,4.592700571428571,"['Trade Sector', 'Unknown']",0,100
48,1990,1991,31,3,0.9854728571428572,1,4.591283714285714,"['Trade Sector', 'Unknown']",0,100
110,1990,1990,31,3,0.9760171428571428,1,4.585610285714286,"['Trade Sector', 'Unknown']",0,100
140,1990,1991,31,3,0.9732785714285714,1,4.5839671428571425,"['Trade Sector', 'Unknown']",1,100
140,1990,1990,31,3,0.9727828571428573,1,4.583669714285715,"['Trade Sector', 'Unknown']",1,100
110,1990,1991,31,3,0.9707585714285715,1,4.5824551428571425,"['Trade Sector', 'Unknown']",2,100
13,1990,1991,31,3,0.9681028571428572,1,4.580861714285715,"['Trade Sector', 'Unknown']",0,100
13,1990,1990,31,3,0.9616728571428571,1,4.5770037142857145,"['Trade Sector', 'Unknown']",0,100
235,1990,1990,31,3,0.9615414285714285,1,4.576924857142857,"['Trade Sector', 'Unknown']",0,100
235,1990,1991,31,3,0.9602985714285716,1,4.576179142857143,"['Trade Sector', 'Unknown']",0,100
98,1990,1991,31,3,0.95953,1,4.575718,"['Trade Sector', 'Unknown']",0,100
52,1990,1991,31,3,0.9551146666666667,1,4.5730688,"['Trade Sector', 'Unknown']",0,100
236,1990,1990,31,3,0.9547871428571428,1,4.572872285714285,"['Trade Sector', 'Unknown']",0,100
153,1990,1991,31,3,0.9540528571428571,1,4.572431714285714,"['Trade Sector', 'Unknown']",0,100
106,1990,1990,31,3,0.9540142857142857,1,4.572408571428571,"['Trade Sector', 'Unknown']",1,100
153,1990,1990,31,3,0.9539571428571428,1,4.572374285714286,"['Trade Sector', 'Unknown']",0,100
106,1990,1991,31,3,0.9490857142857143,1,4.569451428571429,"['Trade Sector', 'Unknown']",0,100
58,1990,1991,31,3,0.9465285714285715,1,4.567917142857143,"['Trade Sector', 'Unknown']",0,100
81,1990,1990,31,3,0.94614,1,4.567684,"['Trade Sector', 'Unknown']",0,100
58,1990,1990,31,3,0.9457314285714286,1,4.567438857142857,"['Trade Sector', 'Unknown']",0,100
81,1990,1991,31,3,0.9446828571428572,1,4.566809714285714,"['Trade Sector', 'Unknown']",0,100
216,1990,1991,31,3,0.9415866666666666,1,4.564952,"['Trade Sector', 'Unknown']",0,100
203,1990,1990,31,3,0.9394014285714285,1,4.5636408571428575,"['Trade Sector', 'Unknown']",0,100
176,1990,1990,31,3,0.9383728571428571,1,4.563023714285714,"['Trade Sector', 'Unknown']",0,100
14,1990,1990,31,3,0.9375157142857143,1,4.5625094285714285,"['Trade Sector', 'Unknown']",0,100
216,1990,1990,31,3,0.9353753333333332,1,4.5612252,"['Trade Sector', 'Unknown']",0,100
14,1990,1991,31,3,0.9326085714285715,1,4.559565142857143,"['Trade Sector', 'Unknown']",0,100
216,1990,1992,31,3,0.9299773333333333,1,4.5579864,"['Trade Sector', 'Unknown']",0,100
203,1990,1991,31,3,0.9295142857142856,1,4.557708571428571,"['Trade Sector', 'Unknown']",0,100
176,1990,1991,31,3,0.9294471428571428,1,4.557668285714286,"['Trade Sector', 'Unknown']",0,100
52,1990,1992,31,3,0.928312,1,4.5569872,"['Trade Sector', 'Unknown']",0,100
44,1990,1990,31,3,0.916382,1,4.5498292,"['Trade Sector', 'Unknown']",0,100
48,1990,1990,30,3,0.9890128571428571,1,4.4934077142857145,"['Trade Sector', 'Unknown']",0,100
48,1990,1991,30,3,0.9856042857142856,1,4.491362571428571,"['Trade Sector', 'Unknown']",0,100
48,1990,1992,30,3,0.9823585714285714,1,4.489415142857142,"['Trade Sector', 'Unknown']",0,100
110,1990,1990,30,3,0.9757300000000001,1,4.485438,"['Trade Sector', 'Unknown']",0,100
140,1990,1991,30,3,0.9740971428571428,1,4.484458285714285,"['Trade Sector', 'Unknown']",1,100
140,1990,1990,30,3,0.9724028571428571,1,4.483441714285714,"['Trade Sector', 'Unknown']",1,100
140,1990,1992,30,3,0.9713957142857143,1,4.482837428571428,"['Trade Sector', 'Unknown']",0,100
110,1990,1991,30,3,0.9695671428571428,1,4.481740285714285,"['Trade Sector', 'Unknown']",2,100
13,1990,1991,30,3,0.9690142857142857,1,4.481408571428571,"['Trade Sector', 'Unknown']",0,100
110,1990,1992,30,3,0.96568,1,4.479407999999999,"['Trade Sector', 'Unknown']",0,100
13,1990,1992,30,3,0.9651028571428572,1,4.479061714285714,"['Trade Sector', 'Unknown']",0,100
98,1990,1992,30,3,0.9636128571428572,1,4.478167714285714,"['Trade Sector', 'Unknown']",0,100
52,1990,1991,30,3,0.9628140000000001,1,4.4776884,"['Trade Sector', 'Unknown']",0,100
235,1990,1991,30,3,0.9626471428571428,1,4.477588285714286,"['Trade Sector', 'Unknown']",0,100
235,1990,1990,30,3,0.9616142857142858,1,4.476968571428571,"['Trade Sector', 'Unknown']",0,100
13,1990,1990,30,3,0.9611985714285715,1,4.476719142857143,"['Trade Sector', 'Unknown']",0,100
98,1990,1991,30,3,0.9601671428571429,1,4.476100285714286,"['Trade Sector', 'Unknown']",0,100
235,1990,1992,30,3,0.9598300000000001,1,4.475898,"['Trade Sector', 'Unknown']",0,100
153,1990,1990,30,3,0.9590185714285715,1,4.475411142857142,"['Trade Sector', 'Unknown']",0,100
236,1990,1991,30,3,0.9529714285714286,1,4.471782857142857,"['Trade Sector', 'Unknown']",0,100
153,1990,1991,30,3,0.9528128571428571,1,4.471687714285714,"['Trade Sector', 'Unknown']",0,100
106,1990,1991,30,3,0.9522042857142857,1,4.471322571428571,"['Trade Sector', 'Unknown']",0,100
106,1990,1990,30,3,0.9520614285714286,1,4.471236857142857,"['Trade Sector', 'Unknown']",1,100
236,1990,1990,30,3,0.9518528571428572,1,4.471111714285714,"['Trade Sector', 'Unknown']",0,100
81,1990,1992,30,3,0.9517114285714285,1,4.471026857142857,"['Trade Sector', 'Unknown']",0,100
52,1990,1992,30,3,0.9504746666666667,1,4.4702848,"['Trade Sector', 'Unknown']",0,100
58,1990,1992,30,3,0.9497985714285715,1,4.469879142857143,"['Trade Sector', 'Unknown']",0,100
153,1990,1992,30,3,0.9496371428571428,1,4.4697822857142855,"['Trade Sector', 'Unknown']",1,100
106,1990,1992,30,3,0.9494385714285715,1,4.469663142857143,"['Trade Sector', 'Unknown']",1,100
81,1990,1990,30,3,0.9461528571428571,1,4.467691714285714,"['Trade Sector', 'Unknown']",0,100
216,1990,1993,30,3,0.9441693333333333,1,4.4665016,"['Trade Sector', 'Unknown']",0,100
81,1990,1991,30,3,0.9438757142857143,1,4.4663254285714284,"['Trade Sector', 'Unknown']",0,100
58,1990,1991,30,3,0.94371,1,4.466226,"['Trade Sector', 'Unknown']",0,100
203,1990,1990,30,3,0.9426500000000001,1,4.46559,"['Trade Sector', 'Unknown']",0,100
58,1990,1990,30,3,0.9420471428571427,1,4.465228285714286,"['Trade Sector', 'Unknown']",0,100
176,1990,1990,30,3,0.9407414285714285,1,4.4644448571428565,"['Trade Sector', 'Unknown']",0,100
14,1990,1990,30,3,0.9393285714285715,1,4.463597142857143,"['Trade Sector', 'Unknown']",0,100
216,1990,1992,30,3,0.9389346666666666,1,4.4633608,"['Trade Sector', 'Unknown']",0,100
216,1990,1991,30,3,0.9371526666666666,1,4.4622916,"['Trade Sector', 'Unknown']",0,100
202,1990,1992,30,3,0.9370971428571429,1,4.462258285714285,"['Trade Sector', 'Unknown']",0,100
216,1990,1990,30,3,0.9361786666666667,1,4.4617072,"['Trade Sector', 'Unknown']",0,100
176,1990,1991,30,3,0.9349142857142858,1,4.460948571428571,"['Trade Sector', 'Unknown']",0,100
203,1990,1991,30,3,0.93104,1,4.458624,"['Trade Sector', 'Unknown']",0,100
14,1990,1991,30,3,0.9306042857142857,1,4.458362571428571,"['Trade Sector', 'Unknown']",0,100
14,1990,1992,30,3,0.9295828571428572,1,4.457749714285714,"['Trade Sector', 'Unknown']",0,100
176,1990,1992,30,3,0.9277742857142857,1,4.456664571428571,"['Trade Sector', 'Unknown']",0,100
203,1990,1992,30,3,0.9233514285714285,1,4.4540108571428565,"['Trade Sector', 'Unknown']",0,100
52,1990,1993,30,3,0.9227080000000001,1,4.4536248,"['Trade Sector', 'Unknown']",0,100
215,1990,1992,30,3,0.9188000000000001,1,4.45128,"['Trade Sector', 'Unknown']",0,100
215,1990,1990,30,3,0.9153842857142858,1,4.449230571428571,"['Trade Sector', 'Unknown']",0,100
208,1990,1990,31,2,0.991425,1,4.294855,['Trade Sector'],0,100
48,1990,1992,28,3,0.9893342857142857,1,4.293600571428572,"['Trade Sector', 'Unknown']",0,100
48,1990,1991,28,3,0.9891671428571429,1,4.293500285714286,"['Trade Sector', 'Unknown']",0,100
48,1990,1990,28,3,0.98733,1,4.292398,"['Trade Sector', 'Unknown']",0,100
200,1990,1990,31,2,0.98731,1,4.2923860000000005,['Trade Sector'],0,100
57,1990,1990,31,2,0.9857549999999999,1,4.291453,['Trade Sector'],0,100
97,1990,1990,31,2,0.985115,1,4.291069,['Trade Sector'],0,100
208,1990,1991,31,2,0.98214,1,4.289284,['Trade Sector'],0,100
48,1990,1993,28,3,0.9812871428571429,1,4.288772285714286,"['Trade Sector', 'Unknown']",0,100
101,1990,1993,28,3,0.9786214285714285,1,4.287172857142857,"['Trade Sector', 'Unknown']",0,100
200,1990,1991,31,2,0.978165,1,4.286899,['Trade Sector'],0,100
101,1990,1994,28,3,0.9774371428571429,1,4.286462285714286,"['Trade Sector', 'Unknown']",0,100
200,1990,1992,31,2,0.976465,1,4.285879,['Trade Sector'],0,100
57,1990,1991,31,2,0.9759249999999999,1,4.2855550000000004,['Trade Sector'],0,100
