country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,country_a_id_fk
215,1995,1995,28,3,0.96992,1,4.281952,"['Unknown', 'Trade Sector']",53
203,1995,1995,28,3,0.9681284615384615,1,4.280877076923077,"['Unknown', 'Trade Sector']",53
110,1995,1995,28,3,0.965354,1,4.2792124000000005,"['Unknown', 'Trade Sector']",53
81,1995,1995,28,3,0.9629293333333333,1,4.2777576,"['Unknown', 'Trade Sector']",53
120,1995,1995,28,3,0.9616315384615385,1,4.276978923076923,"['Unknown', 'Trade Sector']",53
14,1995,1995,28,3,0.9609838461538461,1,4.276590307692308,"['Unknown', 'Trade Sector']",53
177,1995,1995,28,3,0.9602813333333333,1,4.2761688,"['Unknown', 'Trade Sector']",53
21,1995,1994,28,3,0.9599266666666666,1,4.275956,"['Unknown', 'Trade Sector']",53
215,1995,1994,28,3,0.9594113333333333,1,4.2756468000000005,"['Unknown', 'Trade Sector']",53
153,1995,1995,28,3,0.9573459999999999,1,4.2744076,"['Unknown', 'Trade Sector']",53
21,1995,1995,28,3,0.956886,1,4.2741316000000005,"['Unknown', 'Trade Sector']",53
126,1995,1995,28,3,0.956856923076923,1,4.2741141538461545,"['Unknown', 'Trade Sector']",53
98,1995,1995,28,3,0.9539428571428571,1,4.272365714285715,"['Unknown', 'Trade Sector']",53
156,1995,1991,28,3,0.952774,1,4.271664400000001,"['Unknown', 'Trade Sector']",53
176,1995,1995,28,3,0.9522714285714285,1,4.271362857142857,"['Unknown', 'Trade Sector']",53
58,1995,1995,28,3,0.9520820000000001,1,4.2712492,"['Unknown', 'Trade Sector']",53
57,1995,1995,28,3,0.9504242857142857,1,4.270254571428572,"['Unknown', 'Trade Sector']",53
74,1995,1992,28,3,0.950172,1,4.2701032,"['Unknown', 'Trade Sector']",53
74,1995,1991,28,3,0.9492073333333333,1,4.2695244,"['Unknown', 'Trade Sector']",53
202,1995,1995,28,3,0.9488369230769231,1,4.269302153846154,"['Unknown', 'Trade Sector']",53
156,1995,1992,28,3,0.9476246666666666,1,4.2685748,"['Unknown', 'Trade Sector']",53
74,1995,1995,28,3,0.9471233333333334,1,4.268274,"['Unknown', 'Trade Sector']",53
153,1995,1994,28,3,0.9468713333333334,1,4.2681228,"['Unknown', 'Trade Sector']",53
177,1995,1992,28,3,0.9463039999999999,1,4.2677824,"['Unknown', 'Trade Sector']",53
176,1995,1994,28,3,0.9462185714285715,1,4.267731142857143,"['Unknown', 'Trade Sector']",53
58,1995,1994,28,3,0.945392,1,4.2672352,"['Unknown', 'Trade Sector']",53
235,1995,1995,28,3,0.9450413333333334,1,4.2670248,"['Unknown', 'Trade Sector']",53
21,1995,1992,28,3,0.9445066666666667,1,4.266704,"['Unknown', 'Trade Sector']",53
236,1995,1992,28,3,0.9414653333333334,1,4.2648792,"['Unknown', 'Trade Sector']",53
181,1995,1995,28,3,0.9402869230769231,1,4.264172153846154,"['Unknown', 'Trade Sector']",53
153,1995,1992,28,3,0.9364193333333334,1,4.2618516,"['Unknown', 'Trade Sector']",53
153,1995,1991,28,3,0.936158,1,4.2616948,"['Unknown', 'Trade Sector']",53
98,1995,1994,28,3,0.9358771428571429,1,4.261526285714286,"['Unknown', 'Trade Sector']",53
235,1995,1992,28,3,0.934178,1,4.2605068,"['Unknown', 'Trade Sector']",53
106,1995,1994,28,3,0.9335873333333333,1,4.2601524,"['Unknown', 'Trade Sector']",53
153,1995,1993,28,3,0.933508,1,4.260104800000001,"['Unknown', 'Trade Sector']",53
104,1995,1992,28,3,0.9312106666666667,1,4.2587264000000005,"['Unknown', 'Trade Sector']",53
106,1995,1992,28,3,0.9296786666666667,1,4.2578072,"['Unknown', 'Trade Sector']",53
106,1995,1995,28,3,0.9289026666666668,1,4.2573416,"['Unknown', 'Trade Sector']",53
104,1995,1991,28,3,0.925338,1,4.2552028,"['Unknown', 'Trade Sector']",53
104,1995,1993,28,3,0.9248740000000001,1,4.2549244,"['Unknown', 'Trade Sector']",53
106,1995,1991,28,3,0.9206540000000001,1,4.2523924,"['Unknown', 'Trade Sector']",53
104,1995,1990,28,3,0.9187226666666667,1,4.2512336,"['Unknown', 'Trade Sector']",53
106,1995,1990,28,3,0.9118499999999999,1,4.24711,"['Unknown', 'Trade Sector']",53
110,1995,1995,27,3,0.971028,1,4.1826168,"['Unknown', 'Trade Sector']",53
203,1995,1995,27,3,0.9706369230769231,1,4.182382153846154,"['Unknown', 'Trade Sector']",53
215,1995,1995,27,3,0.9696226666666666,1,4.1817736,"['Unknown', 'Trade Sector']",53
81,1995,1995,27,3,0.967058,1,4.1802348,"['Unknown', 'Trade Sector']",53
74,1995,1995,27,3,0.966436,1,4.1798616,"['Unknown', 'Trade Sector']",53
14,1995,1995,27,3,0.9632161538461539,1,4.177929692307693,"['Unknown', 'Trade Sector']",53
153,1995,1995,27,3,0.9629126666666666,1,4.1777476,"['Unknown', 'Trade Sector']",53
110,1995,1994,27,3,0.9622993333333334,1,4.1773796,"['Unknown', 'Trade Sector']",53
74,1995,1993,27,3,0.961788,1,4.1770728,"['Unknown', 'Trade Sector']",53
203,1995,1996,27,3,0.9614761538461539,1,4.1768856923076925,"['Unknown', 'Trade Sector']",53
74,1995,1994,27,3,0.9613806666666667,1,4.1768284,"['Unknown', 'Trade Sector']",53
21,1995,1995,27,3,0.961286,1,4.1767716,"['Unknown', 'Trade Sector']",53
21,1995,1994,27,3,0.960666,1,4.1763996,"['Unknown', 'Trade Sector']",53
110,1995,1993,27,3,0.9603253333333334,1,4.1761952,"['Unknown', 'Trade Sector']",53
215,1995,1994,27,3,0.9596733333333333,1,4.175804,"['Unknown', 'Trade Sector']",53
120,1995,1995,27,3,0.95924,1,4.175544,"['Unknown', 'Trade Sector']",53
14,1995,1996,27,3,0.9588346153846155,1,4.17530076923077,"['Unknown', 'Trade Sector']",53
73,1995,1995,27,3,0.958316,1,4.1749896,"['Unknown', 'Trade Sector']",53
177,1995,1995,27,3,0.9577506666666665,1,4.1746504,"['Unknown', 'Trade Sector']",53
57,1995,1995,27,3,0.9561842857142857,1,4.173710571428572,"['Unknown', 'Trade Sector']",53
57,1995,1996,27,3,0.9538457142857143,1,4.172307428571429,"['Unknown', 'Trade Sector']",53
74,1995,1992,27,3,0.953318,1,4.1719908,"['Unknown', 'Trade Sector']",53
21,1995,1993,27,3,0.9532533333333333,1,4.171952,"['Unknown', 'Trade Sector']",53
215,1995,1993,27,3,0.9531,1,4.17186,"['Unknown', 'Trade Sector']",53
98,1995,1995,27,3,0.9529185714285715,1,4.171751142857143,"['Unknown', 'Trade Sector']",53
202,1995,1995,27,3,0.9527676923076923,1,4.171660615384615,"['Unknown', 'Trade Sector']",53
235,1995,1995,27,3,0.9525640000000001,1,4.1715384,"['Unknown', 'Trade Sector']",53
98,1995,1996,27,3,0.9523371428571429,1,4.171402285714286,"['Unknown', 'Trade Sector']",53
126,1995,1995,27,3,0.9520315384615384,1,4.171218923076923,"['Unknown', 'Trade Sector']",53
153,1995,1994,27,3,0.9515713333333333,1,4.1709428,"['Unknown', 'Trade Sector']",53
58,1995,1995,27,3,0.9515486666666667,1,4.1709292,"['Unknown', 'Trade Sector']",53
120,1995,1996,27,3,0.9513507692307693,1,4.170810461538462,"['Unknown', 'Trade Sector']",53
74,1995,1991,27,3,0.951122,1,4.1706732,"['Unknown', 'Trade Sector']",53
156,1995,1992,27,3,0.9507746666666665,1,4.1704647999999995,"['Unknown', 'Trade Sector']",53
177,1995,1993,27,3,0.949966,1,4.1699796,"['Unknown', 'Trade Sector']",53
236,1995,1993,27,3,0.949412,1,4.1696472,"['Unknown', 'Trade Sector']",53
73,1995,1996,27,3,0.9493159999999999,1,4.1695896,"['Unknown', 'Trade Sector']",53
235,1995,1994,27,3,0.9488013333333334,1,4.1692808,"['Unknown', 'Trade Sector']",53
156,1995,1994,27,3,0.9484106666666666,1,4.1690464,"['Unknown', 'Trade Sector']",53
177,1995,1994,27,3,0.9476746666666666,1,4.1686048,"['Unknown', 'Trade Sector']",53
236,1995,1995,27,3,0.9472973333333333,1,4.1683784,"['Unknown', 'Trade Sector']",53
176,1995,1995,27,3,0.9470271428571427,1,4.168216285714285,"['Unknown', 'Trade Sector']",53
153,1995,1993,27,3,0.9467653333333333,1,4.1680592,"['Unknown', 'Trade Sector']",53
21,1995,1992,27,3,0.9467286666666667,1,4.1680372000000006,"['Unknown', 'Trade Sector']",53
236,1995,1992,27,3,0.9459806666666667,1,4.1675884,"['Unknown', 'Trade Sector']",53
235,1995,1993,27,3,0.945938,1,4.1675628,"['Unknown', 'Trade Sector']",53
153,1995,1996,27,3,0.9452613333333333,1,4.1671568,"['Unknown', 'Trade Sector']",53
58,1995,1994,27,3,0.944524,1,4.1667144,"['Unknown', 'Trade Sector']",53
126,1995,1996,27,3,0.9443638461538462,1,4.166618307692308,"['Unknown', 'Trade Sector']",53
