country_b_id_fk,start_year_a_fk,start_year_b_fk,pattern_length_fk,indexes,avg_corr,orgs,Power,Sectors,event_correlation_score,country_a_id_fk
208,1990,1990,32,2,0.993145,1,4.395887,['Trade Sector'],0,97
57,1990,1990,32,2,0.9883949999999999,1,4.3930370000000005,['Trade Sector'],0,97
208,1990,1991,32,2,0.98766,1,4.392596,['Trade Sector'],0,97
216,1990,1990,32,2,0.987495,1,4.3924970000000005,['Trade Sector'],0,97
200,1990,1990,32,2,0.9874449999999999,1,4.392467,['Trade Sector'],0,97
57,1990,1991,32,2,0.98681,1,4.392086,['Trade Sector'],0,97
81,1990,1990,32,2,0.98556,1,4.391336,['Trade Sector'],0,97
216,1990,1991,32,2,0.982225,1,4.389335,['Trade Sector'],0,97
110,1990,1990,32,2,0.98208,1,4.389248,['Trade Sector'],0,97
200,1990,1991,32,2,0.981905,1,4.389143000000001,['Trade Sector'],0,97
81,1990,1991,32,2,0.98146,1,4.388876,['Trade Sector'],0,97
228,1990,1990,32,2,0.9808699999999999,1,4.388522,['Trade Sector'],0,97
14,1990,1990,32,2,0.9801249999999999,1,4.388075000000001,['Trade Sector'],0,97
48,1990,1990,32,2,0.979975,1,4.3879850000000005,['Trade Sector'],0,97
13,1990,1991,32,2,0.977575,1,4.386545,['Trade Sector'],0,97
236,1990,1990,32,2,0.97738,1,4.386428,['Trade Sector'],0,97
13,1990,1990,32,2,0.97714,1,4.386284,['Trade Sector'],0,97
58,1990,1990,32,2,0.97569,1,4.385414,['Trade Sector'],0,97
106,1990,1990,32,2,0.9747049999999999,1,4.384823,['Trade Sector'],0,97
21,1990,1990,32,2,0.9746049999999999,1,4.384763,['Trade Sector'],0,97
98,1990,1991,32,2,0.974595,1,4.3847570000000005,['Trade Sector'],0,97
48,1990,1991,32,2,0.9738100000000001,1,4.384286,['Trade Sector'],0,97
110,1990,1991,32,2,0.973265,1,4.383959,['Trade Sector'],0,97
153,1990,1990,32,2,0.97282,1,4.383692,['Trade Sector'],0,97
215,1990,1990,32,2,0.972565,1,4.383539000000001,['Trade Sector'],0,97
235,1990,1990,32,2,0.972355,1,4.383413,['Trade Sector'],0,97
228,1990,1991,32,2,0.972165,1,4.383299,['Trade Sector'],0,97
44,1990,1990,32,2,0.972065,1,4.3832390000000006,['Trade Sector'],0,97
140,1990,1990,32,2,0.97188,1,4.383128,['Trade Sector'],0,97
127,1990,1990,32,2,0.97132,1,4.382792,['Trade Sector'],0,97
156,1990,1990,32,2,0.97068,1,4.382408,['Trade Sector'],0,97
153,1990,1991,32,2,0.97052,1,4.382312000000001,['Trade Sector'],0,97
14,1990,1991,32,2,0.97001,1,4.3820060000000005,['Trade Sector'],0,97
58,1990,1991,32,2,0.9696100000000001,1,4.381766000000001,['Trade Sector'],0,97
235,1990,1991,32,2,0.9693499999999999,1,4.38161,['Trade Sector'],0,97
74,1990,1990,32,2,0.9683550000000001,1,4.381013,['Trade Sector'],0,97
140,1990,1991,32,2,0.96753,1,4.380518,['Trade Sector'],0,97
52,1990,1991,32,2,0.96709,1,4.380254,['Trade Sector'],0,97
127,1990,1991,32,2,0.967005,1,4.380203,['Trade Sector'],0,97
156,1990,1991,32,2,0.965645,1,4.379387,['Trade Sector'],0,97
206,1990,1990,32,2,0.965525,1,4.379315,['Trade Sector'],0,97
21,1990,1991,32,2,0.964045,1,4.378427,['Trade Sector'],0,97
74,1990,1991,32,2,0.96361,1,4.378166,['Trade Sector'],0,97
215,1990,1991,32,2,0.9636100000000001,1,4.378166,['Trade Sector'],0,97
176,1990,1990,32,2,0.96326,1,4.377956,['Trade Sector'],0,97
203,1990,1990,32,2,0.9600949999999999,1,4.376057,['Trade Sector'],0,97
203,1990,1991,32,2,0.957745,1,4.374647,['Trade Sector'],0,97
176,1990,1991,32,2,0.957415,1,4.374449,['Trade Sector'],0,97
