Matching Event,Pattern
COVID-19 Pandemic Response,"{'country_b_id_fk': 110, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 3, 'avg_corr': 0.9760171428571428, 'orgs': 1, 'Power': 4.585610285714286, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 7, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Japan'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 81, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 3, 'avg_corr': 0.94614, 'orgs': 1, 'Power': 4.567684, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 6, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Germany'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 203, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 3, 'avg_corr': 0.9394014285714284, 'orgs': 1, 'Power': 4.5636408571428575, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 3, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Slovenia'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 14, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 3, 'avg_corr': 0.9375157142857145, 'orgs': 1, 'Power': 4.5625094285714285, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Austria'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 44, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 3, 'avg_corr': 0.916382, 'orgs': 1, 'Power': 4.5498292, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 3, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Chile'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 200, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.98731, 'orgs': 1, 'Power': 4.2923860000000005, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Singapore'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 57, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.985755, 'orgs': 1, 'Power': 4.291453, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 3, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Czechia'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 21, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.95907, 'orgs': 1, 'Power': 4.275442, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 1, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Belgium'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 215, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.954245, 'orgs': 1, 'Power': 4.272547, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 2, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Sweden'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 156, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.95278, 'orgs': 1, 'Power': 4.271668, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'New Zealand'}"
