Country,Year,Merchandise exports (current US$)
Africa Eastern and Southern,2022,286574135471.42
Africa Eastern and Southern,2021,259223690607.258
Africa Eastern and Southern,2020,183138974097.623
Africa Eastern and Southern,2019,201734614467.052
Africa Eastern and Southern,2018,221852773848.555
Africa Eastern and Southern,2017,197517831995.376
Africa Eastern and Southern,2016,166706245704.624
Africa Eastern and Southern,2015,178793406646.821
Africa Eastern and Southern,2014,227172547878.035
Africa Eastern and Southern,2013,236582031619.075
Africa Eastern and Southern,2012,239361367028.324
Africa Eastern and Southern,2011,249120555005.202
Africa Eastern and Southern,2010,205322132630.636
Africa Eastern and Southern,2009,149977370980.925
Africa Eastern and Southern,2008,201355429350.867
Africa Eastern and Southern,2007,162725310275.723
Africa Eastern and Southern,2006,130220098238.15
Africa Eastern and Southern,2005,109856942575.145
Africa Eastern and Southern,2004,89170513810.4046
Africa Eastern and Southern,2003,69280068815.0289
Africa Eastern and Southern,2002,57878084195.3757
Africa Eastern and Southern,2001,54258035405.2023
Africa Eastern and Southern,2000,56207839836.4162
Africa Eastern and Southern,1999,48603805871.0982
Africa Eastern and Southern,1998,47079949331.7919
Africa Eastern and Southern,1997,54938128817.341
Africa Eastern and Southern,1996,52909030983.815
Africa Eastern and Southern,1995,48514346647.9769
Africa Eastern and Southern,1994,43202705275.1445
Africa Eastern and Southern,1993,40981473428.3237
Africa Eastern and Southern,1992,39901863258.3815
Africa Eastern and Southern,1991,39906948241.5927
Africa Eastern and Southern,1990,41506683959.84
Africa Eastern and Southern,1989,39340481111.8637
Africa Eastern and Southern,1988,37860750997.4009
Africa Eastern and Southern,1987,35401653116.4588
Africa Eastern and Southern,1986,30513967253.8417
Africa Eastern and Southern,1985,28040631419.9081
Africa Eastern and Southern,1984,29339336132.0517
Africa Eastern and Southern,1983,30174290375.3327
Africa Eastern and Southern,1982,29532565494.0777
Africa Eastern and Southern,1981,33574110150.3491
Africa Eastern and Southern,1980,40107296580.1145
Africa Eastern and Southern,1979,30142252330.0233
Africa Eastern and Southern,1978,21959848467.1889
Africa Eastern and Southern,1977,19339747281.8905
Africa Eastern and Southern,1976,16050099884.7907
Africa Eastern and Southern,1975,16584469574.3356
Africa Eastern and Southern,1974,17813731073.605
Africa Eastern and Southern,1973,13163869921.2999
Africa Eastern and Southern,1972,9320843636.21281
Africa Eastern and Southern,1971,8636512492.28964
Africa Eastern and Southern,1970,8210917660.49792
Africa Eastern and Southern,1969,7793771361.34722
Africa Eastern and Southern,1968,6983768294.38877
Africa Eastern and Southern,1967,6453622871.16434
Africa Eastern and Southern,1966,6180101626.9111
Africa Eastern and Southern,1965,5690086733.73155
Africa Eastern and Southern,1964,5502106882.4687
Africa Eastern and Southern,1963,5064895318.29556
Africa Eastern and Southern,1962,4524189229.26985
Africa Eastern and Southern,1961,4281293915.84033
Africa Eastern and Southern,1960,4272845383.1993
Africa Western and Central,2022,168490000000.0
Africa Western and Central,2021,142193000000.0
Africa Western and Central,2020,113387000000.0
Africa Western and Central,2019,139594000000.0
Africa Western and Central,2018,141699000000.0
Africa Western and Central,2017,115985000000.0
Africa Western and Central,2016,95122000000.0
Africa Western and Central,2015,115200000000.0
Africa Western and Central,2014,188350000000.0
Africa Western and Central,2013,179608000000.0
Africa Western and Central,2012,200079000000.0
Africa Western and Central,2011,204483000000.0
Africa Western and Central,2010,150095000000.0
Africa Western and Central,2009,113875000000.0
Africa Western and Central,2008,157215000000.0
Africa Western and Central,2007,119837000000.0
Africa Western and Central,2006,106252000000.0
Africa Western and Central,2005,90665000000.0
Africa Western and Central,2004,70669000000.0
Africa Western and Central,2003,48903000000.0
Africa Western and Central,2002,38730000000.0
Africa Western and Central,2001,36380000000.0
Africa Western and Central,2000,39059000000.0
Africa Western and Central,1999,31386000000.0
Africa Western and Central,1998,26634000000.0
Africa Western and Central,1997,33198000000.0
Africa Western and Central,1996,34069000000.0
Africa Western and Central,1995,28845000000.0
Africa Western and Central,1994,22389000000.0
Africa Western and Central,1993,22647000000.0
Africa Western and Central,1992,25228000000.0
Africa Western and Central,1991,24685000000.0
Africa Western and Central,1990,27434000000.0
Africa Western and Central,1989,22101000000.0
Africa Western and Central,1988,17184000000.0
Africa Western and Central,1987,18098000000.0
Africa Western and Central,1986,15510000000.0
Africa Western and Central,1985,23190000000.0
Africa Western and Central,1984,22327000000.0
Africa Western and Central,1983,20176000000.0
