Country,Year,Merchandise imports (current US$)
Africa Eastern and Southern,2022,316678224263.69
Africa Eastern and Southern,2021,265315238856.895
Africa Eastern and Southern,2020,206462658661.305
Africa Eastern and Southern,2019,248049327642.858
Africa Eastern and Southern,2018,257356916754.669
Africa Eastern and Southern,2017,232178889843.366
Africa Eastern and Southern,2016,215165148056.275
Africa Eastern and Southern,2015,251526877271.805
Africa Eastern and Southern,2014,285036427922.527
Africa Eastern and Southern,2013,283924544523.24
Africa Eastern and Southern,2012,276327857123.368
Africa Eastern and Southern,2011,258432311728.82
Africa Eastern and Southern,2010,207871517298.506
Africa Eastern and Southern,2009,180341000533.287
Africa Eastern and Southern,2008,208642842063.189
Africa Eastern and Southern,2007,172211176699.481
Africa Eastern and Southern,2006,146289191342.347
Africa Eastern and Southern,2005,121459831604.568
Africa Eastern and Southern,2004,100981716564.273
Africa Eastern and Southern,2003,78503833113.0445
Africa Eastern and Southern,2002,59287609442.0413
Africa Eastern and Southern,2001,57393252037.0566
Africa Eastern and Southern,2000,57528056496.5873
Africa Eastern and Southern,1999,54687027172.7927
Africa Eastern and Southern,1998,57896995017.4083
Africa Eastern and Southern,1997,61700913337.8511
Africa Eastern and Southern,1996,57473323858.8831
Africa Eastern and Southern,1995,55751272905.9302
Africa Eastern and Southern,1994,45749390149.1677
Africa Eastern and Southern,1993,40552830269.3622
Africa Eastern and Southern,1992,41475176571.4147
Africa Eastern and Southern,1991,39292487770.1139
Africa Eastern and Southern,1990,39835348544.5826
Africa Eastern and Southern,1989,38527779937.1523
Africa Eastern and Southern,1988,37685374516.8845
Africa Eastern and Southern,1987,32565512448.0722
Africa Eastern and Southern,1986,27510057589.7902
Africa Eastern and Southern,1985,25146415196.9998
Africa Eastern and Southern,1984,30097591714.4235
Africa Eastern and Southern,1983,30564799574.9361
Africa Eastern and Southern,1982,34892350720.5596
Africa Eastern and Southern,1981,41669420539.6803
Africa Eastern and Southern,1980,37964472429.182
Africa Eastern and Southern,1979,21688256102.4322
Africa Eastern and Southern,1978,18894128333.665
Africa Eastern and Southern,1977,15412020464.7331
Africa Eastern and Southern,1976,15138727756.2321
Africa Eastern and Southern,1975,17051776715.7392
Africa Eastern and Southern,1974,16075731328.2356
Africa Eastern and Southern,1973,11082599681.0278
Africa Eastern and Southern,1972,8786518855.93814
Africa Eastern and Southern,1971,9250799905.12906
Africa Eastern and Southern,1970,7960309625.21884
Africa Eastern and Southern,1969,6733130397.47103
Africa Eastern and Southern,1968,6253021585.23951
Africa Eastern and Southern,1967,5926969666.60316
Africa Eastern and Southern,1966,5382494618.00654
Africa Eastern and Southern,1965,5420481249.30398
Africa Eastern and Southern,1964,4840129937.81533
Africa Eastern and Southern,1963,3988596286.23107
Africa Eastern and Southern,1962,3525370421.24286
Africa Eastern and Southern,1961,3608729973.25669
Africa Eastern and Southern,1960,3757510945.83832
Africa Western and Central,2022,162360000000.0
Africa Western and Central,2021,141096000000.0
Africa Western and Central,2020,110128000000.0
Africa Western and Central,2019,132994000000.0
Africa Western and Central,2018,123097000000.0
Africa Western and Central,2017,105351000000.0
Africa Western and Central,2016,112140000000.0
Africa Western and Central,2015,125283000000.0
Africa Western and Central,2014,150686000000.0
Africa Western and Central,2013,147282000000.0
Africa Western and Central,2012,136649000000.0
Africa Western and Central,2011,134296000000.0
Africa Western and Central,2010,106455000000.0
Africa Western and Central,2009,88215000000.0
Africa Western and Central,2008,109676000000.0
Africa Western and Central,2007,83431000000.0
Africa Western and Central,2006,63740000000.0
Africa Western and Central,2005,53151000000.0
Africa Western and Central,2004,40898000000.0
Africa Western and Central,2003,32461000000.0
Africa Western and Central,2002,26260000000.0
Africa Western and Central,2001,29294000000.0
Africa Western and Central,2000,24830000000.0
Africa Western and Central,1999,25671000000.0
Africa Western and Central,1998,25625000000.0
Africa Western and Central,1997,25549000000.0
Africa Western and Central,1996,23012000000.0
Africa Western and Central,1995,23284000000.0
Africa Western and Central,1994,18610000000.0
Africa Western and Central,1993,20673000000.0
Africa Western and Central,1992,21275000000.0
Africa Western and Central,1991,20739000000.0
Africa Western and Central,1990,18199000000.0
Africa Western and Central,1989,15889000000.0
Africa Western and Central,1988,15883000000.0
Africa Western and Central,1987,15271000000.0
Africa Western and Central,1986,14944000000.0
Africa Western and Central,1985,18194000000.0
Africa Western and Central,1984,17965000000.0
Africa Western and Central,1983,22067000000.0
Africa Western and Central,1982,26571000000.0
Africa Western and Central,1981,32213000000.0
Africa Western and Central,1980,29015000000.0
Africa Western and Central,1979,20316000000.0
Africa Western and Central,1978,22117000000.0
Africa Western and Central,1977,18943000000.0
Africa Western and Central,1976,14454000000.0
Africa Western and Central,1975,11823000000.0
Africa Western and Central,1974,7704999999.99999
Africa Western and Central,1973,5475000000.0
Africa Western and Central,1972,4136000000.0
Africa Western and Central,1971,3910000000.0
Africa Western and Central,1970,3297000000.0
Africa Western and Central,1969,2696000000.0
Africa Western and Central,1968,2351000000.0
Africa Western and Central,1967,2381000000.0
Africa Western and Central,1966,2393000000.0
Africa Western and Central,1965,2488000000.0
Africa Western and Central,1964,2283000000.0
Africa Western and Central,1963,2052000000.0
Africa Western and Central,1962,2030000000.0
Africa Western and Central,1961,2081000000.0
Africa Western and Central,1960,1880000000.0
Arab World,2022,1160735269373.5
Arab World,2021,938629328904.615
Arab World,2020,765673249789.488
Arab World,2019,898851630936.026
Arab World,2018,826286500302.064
Arab World,2017,800689170151.872
Arab World,2016,787852152480.541
Arab World,2015,866172191107.421
Arab World,2014,926662309600.506
Arab World,2013,911130517404.255
Arab World,2012,867330843225.251
Arab World,2011,765085849499.787
Arab World,2010,664126677027.037
Arab World,2009,598829363379.572
Arab World,2008,684069017790.291
Arab World,2007,521439879850.811
Arab World,2006,391821225202.173
Arab World,2005,342806607214.083
Arab World,2004,284810416755.109
Arab World,2003,214421291318.049
Arab World,2002,183508089473.942
Arab World,2001,175534786572.494
Arab World,2000,166970046265.952
Arab World,1999,156389776099.385
Arab World,1998,160677192646.898
Arab World,1997,154781994894.068
Arab World,1996,150326028778.891
Arab World,1995,137391111059.277
Arab World,1994,122582971797.246
Arab World,1993,120387790302.227
Arab World,1992,120811687418.507
Arab World,1991,103810385219.154
Arab World,1990,102036073003.87
Arab World,1989,107805110900.664
Arab World,1988,109588506625.583
Arab World,1987,91422496635.3096
Arab World,1986,90131628988.3537
Arab World,1985,98357251601.8726
Arab World,1984,114619761684.281
Arab World,1983,123602343434.014
Arab World,1982,138339833176.664
Arab World,1981,134244179610.326
Arab World,1980,111167018744.3
Arab World,1979,84885397534.9706
Arab World,1978,73166660827.5389
Arab World,1977,61964674890.4289
Arab World,1976,44831157161.9507
Arab World,1975,39160019313.4399
Arab World,1974,27886374578.1016
Arab World,1973,15485365369.2296
Arab World,1972,10738726945.7474
Arab World,1971,8760540403.10975
Arab World,1970,7708871843.19726
Arab World,1969,7156796313.18562
Arab World,1968,6487644436.77298
Arab World,1967,6202018522.70845
Arab World,1966,6375614484.61339
Arab World,1965,5723620348.62159
Arab World,1964,5535894482.84066
Arab World,1963,5129155106.982
Arab World,1962,4465049624.81077
Arab World,1961,4878853952.60743
Arab World,1960,4880872510.304
Caribbean small states,2022,29942000000.0
Caribbean small states,2021,25984000000.0
Caribbean small states,2020,19939000000.0
Caribbean small states,2019,26821000000.0
Caribbean small states,2018,26496000000.0
Caribbean small states,2017,23726000000.0
Caribbean small states,2016,23092000000.0
Caribbean small states,2015,25545000000.0
Caribbean small states,2014,29265000000.0
Caribbean small states,2013,31060000000.0
Caribbean small states,2012,27681000000.0
Caribbean small states,2011,27229000000.0
Caribbean small states,2010,21679000000.0
Caribbean small states,2009,21413000000.0
Caribbean small states,2008,29335000000.0
Caribbean small states,2007,24547000000.0
Caribbean small states,2006,21323000000.0
Caribbean small states,2005,18715000000.0
Caribbean small states,2004,15691000000.0
Caribbean small states,2003,13927000000.0
Caribbean small states,2002,12922000000.0
Caribbean small states,2001,12949000000.0
Caribbean small states,2000,12970000000.0
Caribbean small states,1999,11304000000.0
Caribbean small states,1998,11691000000.0
Caribbean small states,1997,11709000000.0
Caribbean small states,1996,9907000000.0
Caribbean small states,1995,9074000000.0
Caribbean small states,1994,7336000000.0
Caribbean small states,1993,7502000000.0
Caribbean small states,1992,6664000000.0
Caribbean small states,1991,7336000000.0
Caribbean small states,1990,6842000000.0
Caribbean small states,1989,8701000000.00001
Caribbean small states,1988,7067000000.0
Caribbean small states,1987,7513000000.0
Caribbean small states,1986,7540000000.0
Caribbean small states,1985,7528000000.00001
Caribbean small states,1984,9003000000.00001
Caribbean small states,1983,10599000000.0
Caribbean small states,1982,13372000000.0
Caribbean small states,1981,14071000000.0
Caribbean small states,1980,13850000000.0
Caribbean small states,1979,8207000000.00001
Caribbean small states,1978,7350000000.00001
Caribbean small states,1977,7521000000.00001
Caribbean small states,1976,7189000000.00001
Caribbean small states,1975,6408000000.0
Caribbean small states,1974,5638000000.0
Caribbean small states,1973,2946000000.0
Caribbean small states,1972,2517000000.0
Caribbean small states,1971,2302000000.0
Caribbean small states,1970,1934000000.0
Caribbean small states,1969,1672000000.0
Caribbean small states,1968,1383000000.0
Caribbean small states,1967,1347000000.0
Caribbean small states,1966,1315000000.0
Caribbean small states,1965,1225000000.0
Caribbean small states,1964,1130000000.0
Caribbean small states,1963,939000000.000001
Caribbean small states,1962,901000000.0
Caribbean small states,1961,889000000.0
Caribbean small states,1960,825000000.0
Central Europe and the Baltics,2022,1309470000000.0
Central Europe and the Baltics,2021,1147984000000.0
Central Europe and the Baltics,2020,898475000000.0
Central Europe and the Baltics,2019,934029000000.0
Central Europe and the Baltics,2018,948657000000.0
Central Europe and the Baltics,2017,832842000000.0
Central Europe and the Baltics,2016,723808000000.0
Central Europe and the Baltics,2015,709456000000.0
Central Europe and the Baltics,2014,804000000000.0
Central Europe and the Baltics,2013,768206000000.0
Central Europe and the Baltics,2012,736152000000.0
Central Europe and the Baltics,2011,778127000000.0
Central Europe and the Baltics,2010,644658000000.0
Central Europe and the Baltics,2009,551789000000.0
Central Europe and the Baltics,2008,785752000000.0
Central Europe and the Baltics,2007,653137000000.0
Central Europe and the Baltics,2006,507955000000.0
Central Europe and the Baltics,2005,411334000000.0
Central Europe and the Baltics,2004,359397000000.0
Central Europe and the Baltics,2003,276243000000.0
Central Europe and the Baltics,2002,215355000000.0
Central Europe and the Baltics,2001,192101000000.0
Central Europe and the Baltics,2000,177372000000.0
Central Europe and the Baltics,1999,159373000000.0
Central Europe and the Baltics,1998,163107000000.0
Central Europe and the Baltics,1997,149846000000.0
Central Europe and the Baltics,1996,138026000000.0
Central Europe and the Baltics,1995,119166000000.0
Central Europe and the Baltics,1994,90637000000.0
Central Europe and the Baltics,1993,80313000000.0
Central Europe and the Baltics,1992,73268213581.9312
Central Europe and the Baltics,1991,
Central Europe and the Baltics,1990,
Central Europe and the Baltics,1989,
Central Europe and the Baltics,1988,
Central Europe and the Baltics,1987,
