Country,Year,Net migration
Africa Eastern and Southern,2022,
Africa Eastern and Southern,2021,-179444.0
Africa Eastern and Southern,2020,-48955.0
Africa Eastern and Southern,2019,-187410.0
Africa Eastern and Southern,2018,-366105.0
Africa Eastern and Southern,2017,-343075.0
Africa Eastern and Southern,2016,-864708.0
Africa Eastern and Southern,2015,394925.0
Africa Eastern and Southern,2014,-199608.0
Africa Eastern and Southern,2013,-92842.0
Africa Eastern and Southern,2012,-285231.0
Africa Eastern and Southern,2011,-683611.0
Africa Eastern and Southern,2010,-371556.0
Africa Eastern and Southern,2009,-473488.0
Africa Eastern and Southern,2008,-359068.0
Africa Eastern and Southern,2007,-214900.0
Africa Eastern and Southern,2006,-284378.0
Africa Eastern and Southern,2005,-357877.0
Africa Eastern and Southern,2004,-331713.0
Africa Eastern and Southern,2003,-342557.0
Africa Eastern and Southern,2002,-452301.0
Africa Eastern and Southern,2001,-409728.0
Africa Eastern and Southern,2000,-564510.0
Africa Eastern and Southern,1999,-399164.0
Africa Eastern and Southern,1998,-432996.0
Africa Eastern and Southern,1997,-813478.0
Africa Eastern and Southern,1996,-427138.0
Africa Eastern and Southern,1995,-243945.0
Africa Eastern and Southern,1994,-391945.0
Africa Eastern and Southern,1993,-156997.0
Africa Eastern and Southern,1992,-556663.0
Africa Eastern and Southern,1991,-511160.0
Africa Eastern and Southern,1990,22815.0
Africa Eastern and Southern,1989,-139006.0
Africa Eastern and Southern,1988,-211477.0
Africa Eastern and Southern,1987,215740.0
Africa Eastern and Southern,1986,228243.0
Africa Eastern and Southern,1985,156794.0
Africa Eastern and Southern,1984,150024.0
Africa Eastern and Southern,1983,81379.0
Africa Eastern and Southern,1982,166975.0
Africa Eastern and Southern,1981,312842.0
Africa Eastern and Southern,1980,-308842.0
Africa Eastern and Southern,1979,127465.0
Africa Eastern and Southern,1978,549108.0
Africa Eastern and Southern,1977,-369157.0
Africa Eastern and Southern,1976,14373.0
Africa Eastern and Southern,1975,67213.0
Africa Eastern and Southern,1974,142873.0
Africa Eastern and Southern,1973,30089.0
Africa Eastern and Southern,1972,-129343.0
Africa Eastern and Southern,1971,-94513.0
Africa Eastern and Southern,1970,1184.0
Africa Eastern and Southern,1969,-7733.0
Africa Eastern and Southern,1968,17992.0
Africa Eastern and Southern,1967,4529.0
Africa Eastern and Southern,1966,-12060.0
Africa Eastern and Southern,1965,11041.0
Africa Eastern and Southern,1964,37452.0
Africa Eastern and Southern,1963,-16266.0
Africa Eastern and Southern,1962,-24259.0
Africa Eastern and Southern,1961,-1348.0
Africa Eastern and Southern,1960,-90849.0
Africa Western and Central,2022,
Africa Western and Central,2021,-264802.0
Africa Western and Central,2020,-99761.0
Africa Western and Central,2019,-328552.0
Africa Western and Central,2018,-255888.0
Africa Western and Central,2017,-200823.0
Africa Western and Central,2016,-167286.0
Africa Western and Central,2015,-360393.0
Africa Western and Central,2014,-280418.0
Africa Western and Central,2013,-377305.0
Africa Western and Central,2012,-435876.0
Africa Western and Central,2011,-198802.0
Africa Western and Central,2010,-264237.0
Africa Western and Central,2009,-220606.0
Africa Western and Central,2008,-247671.0
Africa Western and Central,2007,-225365.0
Africa Western and Central,2006,-223100.0
Africa Western and Central,2005,-137920.0
Africa Western and Central,2004,-41511.0
Africa Western and Central,2003,-99836.0
Africa Western and Central,2002,-39042.0
Africa Western and Central,2001,-38737.0
Africa Western and Central,2000,-22651.0
Africa Western and Central,1999,-158730.0
Africa Western and Central,1998,-17330.0
Africa Western and Central,1997,56467.0
Africa Western and Central,1996,-188064.0
Africa Western and Central,1995,10350.0
Africa Western and Central,1994,-198790.0
Africa Western and Central,1993,-345858.0
Africa Western and Central,1992,-72380.0
Africa Western and Central,1991,-101888.0
Africa Western and Central,1990,-529414.0
Africa Western and Central,1989,-54273.0
Africa Western and Central,1988,-103580.0
Africa Western and Central,1987,-186148.0
Africa Western and Central,1986,-214280.0
Africa Western and Central,1985,-284607.0
Africa Western and Central,1984,-354123.0
Africa Western and Central,1983,-682765.0
Africa Western and Central,1982,-8242.0
Africa Western and Central,1981,-86322.0
Africa Western and Central,1980,-153529.0
Africa Western and Central,1979,-76127.0
